x;Sec(x)
-10.000000000000;-1.191793506687
-9.950000000000;-1.155785252982
-9.900000000000;-1.124617577500
-9.850000000000;-1.097758514313
-9.800000000000;-1.074776185907
-9.750000000000;-1.055320085762
-9.700000000000;-1.039106913560
-9.650000000000;-1.025909819617
-9.600000000000;-1.015550251906
-9.550000000000;-1.007891833280
-9.500000000000;-1.002835863182
-9.450000000000;-1.000318159963
-9.400000000000;-1.000307052217
-9.350000000000;-1.002802400637
-9.300000000000;-1.007835593738
-9.250000000000;-1.015470517178
-9.200000000000;-1.025805552853
-9.150000000000;-1.038976725645
-9.100000000000;-1.055162188718
-9.050000000000;-1.074588330280
-9.000000000000;-1.097537906305
-8.950000000000;-1.124360769842
-8.900000000000;-1.155488001091
-8.850000000000;-1.191450578061
-8.800000000000;-1.232904220186
-8.750000000000;-1.280662774984
-8.700000000000;-1.335743646060
-8.650000000000;-1.399430525247
-8.600000000000;-1.473361519154
-8.550000000000;-1.559655414845
-8.500000000000;-1.661096725065
-8.450000000000;-1.781414009539
-8.400000000000;-1.925711243780
-8.350000000000;-2.101160211144
-8.300000000000;-2.318158732111
-8.250000000000;-2.592366420942
-8.200000000000;-2.948505579714
-8.150000000000;-3.428014241197
-8.100000000000;-4.106031635993
-8.050000000000;-5.134379550556
-8.000000000000;-6.872850636694
-7.950000000000;-10.430694497380
-7.900000000000;-21.738125925723
-7.850000000000;251.153835004223
-7.800000000000;18.533819022696
-7.750000000000;9.634435115659
-7.700000000000;6.520015775265
-7.650000000000;4.936564843666
-7.600000000000;3.979943590360
-7.550000000000;3.340887588713
-7.500000000000;2.884876262014
-7.450000000000;2.543994741180
-7.400000000000;2.280255600987
-7.350000000000;2.070753755965
-7.300000000000;1.900860551840
-7.250000000000;1.760798442879
-7.200000000000;1.643787029159
-7.150000000000;1.544979225107
-7.100000000000;1.460820786984
-7.050000000000;1.388648906419
-7.000000000000;1.326431900475
-6.950000000000;1.272595380747
-6.900000000000;1.225903187050
-6.850000000000;1.185374009037
-6.800000000000;1.150221861807
-6.750000000000;1.119812872492
-6.700000000000;1.093633453252
-6.650000000000;1.071266576663
-6.600000000000;1.052373922409
-6.550000000000;1.036682354925
-6.500000000000;1.023973654442
-6.450000000000;1.014076740170
-6.400000000000;1.006861845275
-6.350000000000;1.002236261037
-6.300000000000;1.000141383603
-6.250000000000;1.000550885083
-6.200000000000;1.003469901560
-6.150000000000;1.008935191023
-6.100000000000;1.017016270333
-6.050000000000;1.027817597231
-6.000000000000;1.041481926595
-5.950000000000;1.058195045711
-5.900000000000;1.078192189545
-5.850000000000;1.101766564789
-5.800000000000;1.129280587123
-5.750000000000;1.161180683982
-5.700000000000;1.198016872584
-5.650000000000;1.240468849432
-5.600000000000;1.289381118624
